,Unnamed: 0,lng,lat,id,icon_caption_x,speed_limit,raw_text,icon_caption_y,geom_type,geometry,id_clean,dist_m
22,45,71.3998188,51.0824147,3a292bf8-328a-11ee-a212-001876201992,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTLU100 Нур-Султан, от просп. Т?ран в сторону ул. Турара Рыскулова Старый номер: KZ-KZ-AST-8959 Дата последних изменений: 2023-08-04 07:46:15 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3998188 51.0824147, 71.395526816172 51.082508854129, 71.39583691601 51.083425341717, 71.3998188 51.0824147))",3a292bf8-328a-11ee-a212-001876201992,1386.4510022878012
23,46,71.3884884,51.0815922,91f180da-2c13-11e5-a827-3440b5d7,Контроль ПДД,60,Скопировать ссылку на точку 01-Астана VOCORD Cyclops Старый номер: KZ-KZ-AST-1529 Дата последних изменений: 2023-07-12 06:48:05 Ограничение скорости: 60 [edit] [copy] Фото 1 из 1 в базе с 2016-05-01 03:35:57:,Контроль ПДД,Polygon,"POLYGON ((71.3884884 51.0815922, 71.388388482462 51.079794711716, 71.387415895706 51.079924581951, 71.3884884 51.0815922))",91f180da-2c13-11e5-a827-3440b5d7,2128.7018957073365
24,47,71.388017,51.081192,cc1782f2-2c13-11e5-a827-3440b5d7,Контроль ПДД,60,Скопировать ссылку на точку 01-Астана VOCORD Cyclops Старый номер: KZ-KZ-AST-1530 Дата последних изменений: 2023-07-12 06:47:31 Ограничение скорости: 60 [edit] [copy] Фото 1 из 1 в базе с 2016-05-01 03:35:24:,Контроль ПДД,Polygon,"POLYGON ((71.388017 51.081192, 71.388216711614 51.082986202691, 71.389181482815 51.082835088323, 71.388017 51.081192))",cc1782f2-2c13-11e5-a827-3440b5d7,2176.862978134767
25,48,71.3950131,51.0998046,b16d754e-2c14-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку 01 Нур-Султан, пр. Туран/пр. Улы Дала - Сергек ASTP144 -КРЗ- Старый номер: KZ-KZ-AST-1531 Дата последних изменений: 2023-06-28 18:41:37 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3950131 51.0998046, 71.394888153883 51.097557739645, 71.393671941582 51.097720077439, 71.3950131 51.0998046))",b16d754e-2c14-11e5-a827-3440b5d7,1900.5866851111418
26,49,71.3949111,51.1002741,c0bc20d0-2c14-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку 01 Нур-Султан, пр. Туран/пр. Улы Дала - Сергек ASTP144 -КРЗ- Старый номер: KZ-KZ-AST-1532 Дата последних изменений: 2023-06-28 18:41:44 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.3949111 51.1002741, 71.395036047051 51.102520960363, 71.396252271728 51.10235862264, 71.3949111 51.1002741))",c0bc20d0-2c14-11e5-a827-3440b5d7,1938.7677019412477
27,50,71.4266016,51.0955029,17a523fb-2c15-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP192-КРЗ- Нур-Султан, просп. Мангилик Ел/пр. Улы Дала - Сергек Старый номер: KZ-KZ-AST-1533 Дата последних изменений: 2020-09-28 10:18:40 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4266016 51.0955029, 71.423744699264 51.095628362617, 71.423985318027 51.096234449738, 71.4266016 51.0955029))",17a523fb-2c15-11e5-a827-3440b5d7,994.5032009373361
28,51,71.4272132,51.0955536,2e6b38a2-2c15-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP192-КРЗ- Нур-Султан, просп. Мангилик Ел/пр. Улы Дала - Сергек Старый номер: KZ-KZ-AST-1534 Дата последних изменений: 2020-09-28 10:18:58 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4272132 51.0955536, 71.430075335533 51.095490830749, 71.429868543661 51.094879839011, 71.4272132 51.0955536))",2e6b38a2-2c15-11e5-a827-3440b5d7,1029.3077692788695
29,52,71.4269074,51.0952631,45f0f917-2c15-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP192-КРЗ- Нур-Султан, от просп. Улы Дала в сторону ул. Букар жырау Старый номер: KZ-KZ-AST-1535 Дата последних изменений: 2023-07-07 15:54:33 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4269074 51.0952631, 71.426832439693 51.093914983787, 71.426102783986 51.094012386463, 71.4269074 51.0952631))",45f0f917-2c15-11e5-a827-3440b5d7,991.7150165271408
30,53,71.4269557,51.0957731,556aa7fb-2c15-11e5-a827-3440b5d7,Контроль ПДД,60,"Скопировать ссылку на точку KZ-01-ID:ASTP192-КРЗ- Нур-Султан, просп. Мангилик Ел/пр. Улы Дала - Сергек Старый номер: KZ-KZ-AST-1536 Дата последних изменений: 2020-09-28 10:22:45 Ограничение скорости: 60 [edit] [copy]",Контроль ПДД,Polygon,"POLYGON ((71.4269557 51.0957731, 71.427030660933 51.097121216218, 71.427760324702 51.097023813584, 71.4269557 51.0957731))",556aa7fb-2c15-11e5-a827-3440b5d7,1033.196977423177
38,62,71.4268477,51.0949297,31059695-4a78-11e6-9d35-5254a201,Контроль ПДД,60,Скопировать ссылку на точку 01 Астана VOCORD Cyclops Старый номер: KZ-KZ-AST-1731 Дата последних изменений: 2023-07-07 15:53:58 Ограничение скорости: 60 [edit] [copy] Фото 1 из 1 в базе с 2016-07-15 12:37:55:,Контроль ПДД,Polygon,"POLYGON ((71.4268477 51.0949297, 71.426348271978 51.090444193302, 71.423935627533 51.090821979364, 71.4268477 51.0949297))",31059695-4a78-11e6-9d35-5254a201,963.9562802214092
