,Name,Desc,Type,lat,lng,dist_m
0,Quantum TECH School,,Школы,51.086509,71.419294,364.9492811056762
2,Seed Uniker School,,Школы; Спортивные секции; Обучение танцам; Курсы творчества для взрослых,51.094552,71.446078,2153.5414160990977
3,Ulttyq Business&Engineering School,,Школы,51.107649,71.425834,2148.8921767233255
5,Astana Garden International School,международная школа,Школы,51.092505,71.428264,902.9046359941503
6,Международная школа г. Астана,филиал Назарбаев Интеллектуальные школы,Школы,51.098525,71.423973,1158.3910982880282
18,Школа-гимназия №96,,Школы,51.09497,71.412348,696.7160008670355
19,Школа-лицей №84,,Лицеи,51.099721,71.414622,1171.0729624445617
20,Школа-лицей №85,,Лицеи,51.100524,71.409856,1334.7898539332264
21,Alpamys school,,Школы,51.102459,71.400178,1855.7350739289188
22,Qadam School,частная школа,Школы,51.101162,71.426089,1486.7299706733234
23,Дарын,специализированный лицей №82,Лицеи,51.09632,71.439988,1824.0317991331235
24,Smart Creative School,,Школы,51.099501,71.433731,1661.5483471460864
25,Назарбаев Интеллектуальная школа IB,,Школы,51.085501,71.393079,1682.715288280112
26,Школа-лицей №88 им. Қадыр Мырза Әлі,,Школы,51.073336,71.437164,2287.1624160131137
28,Назарбаев Интеллектуальная Школа Физико-Математического Направления г. Астана,,Школы,51.084983,71.396671,1458.7051533839187
29,Binom school им. А. Кекилбаева,,Школы,51.080713,71.43477,1594.9747876949084
30,Kazakhstan International School Astana,,Школы,51.079555,71.425763,1260.1806540426044
32,Комфортная школа,Управление образования г. Астаны,Школы,51.09577,71.44628,2207.7820751970416
34,Binom school им. Қ. Сәтбаева,школа-лицей,Школы,51.088219,71.449443,2309.2833207973563
36,Комфортная средняя школа №103,,Школы,51.071665,71.419528,1967.379269136618
37,Canadian International School Astana,,Школы,51.094389,71.391836,1809.5097344343642
41,Средняя школа №45,,Школы,51.097832,71.385449,2364.052662548317
181,Ingenium,,Начальные школы-детские сады и прогимназии; Частные детские сады,51.102614,71.404891,1690.0905386782074
184,IQ Urker School,,Начальные школы-детские сады и прогимназии,51.100522,71.396107,1892.9438352643147
